"id","state","city","district","h_name","address","pincode","contact","helpline","fax","category","website","email","blood_component","blood_group","service_time","latitude","longitude"
"354","Chhattisgarh","Raipur","Raipur","City Blood Bank","Ramakrishna Ashram, G.E. Road","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"355","Chhattisgarh","Ambikapur","Ambikapur","Holy Cross Hospital Ambikapur","Ambikapur","NA","07774 223733","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"356","Chhattisgarh","Raipur","Raipur","Sai Sahara Blood Bank","Garcha Complex, Jail Road","NA","0771 2551050","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"357","Chhattisgarh","Blaspur","Blaspur","Apollo Hospital Blood Bank","Vill. Lingiadih","NA","07552 248300","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"358","Chhattisgarh","Raipur","Raipur","Modern Medical Institute Lalpur","Dhamtari Road","NA","0771 4212761,0771 4212762","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"359","Chhattisgarh","Raipur","Raipur","United Blood Bank","Raja Talab","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"360","Chhattisgarh","Raipur","Raipur","SSD Blood Bank","Katoratalab, Raipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"361","Chhattisgarh","Bhilai","NA","Chandulal Chandrakar Memorial Hospital Blood Bank","Nehru Nagar, Bhilai","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"362","Chhattisgarh","Raipur","Raipur","Chhattisgarh Blood Bank, Agrawal Hospital Parisar","Agrawal Institute of Medical Sciences Pvt Ltd., G.E.Road","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"363","Chhattisgarh","Bilaspur","Bilaspur","Bilasa Blood Bank","Bilaspur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"364","Chhattisgarh","Raipur","Raipur","Bilasa Blood Bank","Shankar Nagar","NA","0771 4009304","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"365","Chhattisgarh","Korba","Korba","Bilasa Blood Bank","Ghanta Ghar Chowk, Korba","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"366","Chhattisgarh","Ambikapur","NA","Tej Blood Bank","Main Road, Ambikapur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"367","Chhattisgarh","Durg","Durg","Gayatri Blood Bank","Om Parisar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"368","Chhattisgarh","Narayanpur","Narayanpur","Ramkrishna Ashram Blood Bank","Narayanpur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"369","Chhattisgarh","Bilaspur","Bilaspur","Chritian Hospital Blood Bank","Mungeli, Bilaspur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"370","Chhattisgarh","Rajpur","NA","Shrishti Blood Bank","Dhillan Complex, Jawahar Nagar","NA","0771 4095493","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"371","Chhattisgarh","Raigarh","Raigarh","OPJHRC Blood Bank","OP Jindal Hospital Inn Raigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"372","Chhattisgarh","Raipur","Raipur","Shree Narayana Hospital Blood Bank","Health Tech Chhattisgarh (P) Ltd.,Shree Narayana Hospital, Devendra Nagar","NA","0771 4218333","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"373","Chhattisgarh","Raipur","Raipur","Rajdhani Blood Bank","Main Road, Badhaipara","NA","0771 2292250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"374","Chhattisgarh","Raipur","Raipur (C.G.)","Evangelical Mission Hospital Blood Bank","Evangelical Mission Hospital Campus, At Tilda, P.O. Neora","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"375","Chhattisgarh","Bilaspur","Bilaspur","Ekta Blood Bank","Near Abhiyanta Bhawan, Magarpara","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"376","Chhattisgarh","Raipur","Raipur (C.G.)","Raipur Institute of Medical Science Blood Bank","At Bhansoj Road, Off NH-6, Vill. Godhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"377","Chhattisgarh","Durg","Durg (C.G.)","CM Medical College & Hospital Blood Bank","Vill. Kachandur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"378","Chhattisgarh","Raigarh","Raigarh (C.G.)","Sewa Blood Bank","Sawadia Complex, Opp of Kirodimal, District Hospital","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"379","Chhattisgarh","Raipur","Raipur (C.G.)","Ashirwad Blood Bank","H. No.S-5, Rajiv Nagar, Shankar Nagar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"380","Chhattisgarh","Dantewada","Dantewada","NMDC Apollo Hospital Blood Bank","Bailadila Iron Ore Mines, Bacheli, Dantewada","NA","07857 230050","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"381","Chhattisgarh","Korba","Korba","Nehru Centenary Hospital Blood Bank","Korba","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"382","Chhattisgarh","Bhilai","Bhilai","J.N.L. Hospital & Research Center Blood Bank","Bhilai","NA","0788 2227814,0788 2241926","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"383","Chhattisgarh","Dantewada","Dantewada","NMDC Project Hospital Blood Bank","Bailadila Iron Ore Mines, Kirandul Complex","NA","07857 255229","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"384","Chhattisgarh","Raipur","Raipur","Red Cross Blood Bank (BCSU)","Indian Red Cross Blood Bank, Raipur","NA","07712 880111","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"385","Chhattisgarh","Raipur","Raipur","B.R.A. Hospital Blood Bank","Raipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"386","Chhattisgarh","Durg","Durg","District Hospital Blood Bank Durg (BCSU)","Civil Surgeon, District Hospital, Durg","NA","0788 2322808","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"387","Chhattisgarh","Rajnandgaon","Rajnandgaon","Civil Surgeon","District Hospital, Rajnandgaon","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"388","Chhattisgarh","Bilaspur","Bilsapur","CIMS Blood Bank(BCSU)","CIMS Hospital , Bilsapur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"389","Chhattisgarh","Raigarh","Raigarh","Civil Surgeon","District Hospital, Raigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"390","Chhattisgarh","Ambikapur","Ambikapur","Civil Surgeon","District Hospital, Ambikapur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"391","Chhattisgarh","Korba","Korba","District Hospital Blood Bank","Civil Surgeon, District Hospital, Korba","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"392","Chhattisgarh","Mahasamund","Mahasamund","District Hospital Blood Bank","Civil Surgeon, District Hospital, Mahasamund","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"393","Chhattisgarh","Kanker","Kanker","District Hospital Blood Bank","Civil Surgeon, District Hospital, Kanker","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=20]20","[=81]81"
"394","Chhattisgarh","Jagdalpur","Jagdalpur","Maharani Hospital (BCSU)","Maharani Hospital, Jagdalpur","NA","07786 2231669","NA","NA","NA","NA","NA","NA","NA","NA","[=19]19","[=82]82"
"395","Chhattisgarh","Kawardha","Kawardha","District Hospital Blood Bank","Civil Surgeon, District Hospital , Kawardha","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"396","Chhattisgarh","Dantewada","Dantewada","District Hospital Blood Bank","Civil Surgeon,District Hospital, Dantewada","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=19]19","[=81]81"
"397","Chhattisgarh","Dhanbad","Dhanbad","District Hospital Blood Bank Dhamtari","Civil Surgeon, District Hospital, Dhamtari","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=21]21","[=82]82"
"398","Chhattisgarh","Koria","Koria","Civil Surgeon Dist. Hospital Blood Bank","Korea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"399","Chhattisgarh","Bilaspur","Bilaspur","District Hospital Blood Bank","Civil Surgeon, District Hospital, Bilaspur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=22]22","[=82]82"
"400","Chhattisgarh","Raipur","Raipur","Model Blood Bank (BCSU)","Raipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"401","Chhattisgarh","Durg","Durg","District Hospital Blood Bank (BCSU)","Durg","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=21]21","[=81]81"
"402","Chhattisgarh","Rajnanadagaon","NA","District Hospital Blood Bank Rajnanadagaon","Rajnanadagaon","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"403","Chhattisgarh","Raigarh","Raigarh","District Hospital Blood Bank","Raigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"404","Chhattisgarh","Sarguja","Sarguja","District Hospital Blood Bank","Sarguja","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"405","Dadra and Nagar Haveli","Silvassa","Silvassa","Indian Red Cross Society, Red Cross House","Red Cross House","396230","0260 2640911, 0260 2640577","NA","NA","NA","NA","NA","NA","NA","NA","[=20]20","[=73]73"
"406","Daman and Diu","Marwad","Daman","Daman Raktdan Kendra, Marwad Hospital Campus","Government Hospital Marwad Campus, Nani Daman Daman","396210","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=20]20","[=73]73"
"407","Daman and Diu","Diu","Diu","Diu Blood Bank, Government Hospital","NA","362520","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=21]21","[=71]71"
"408","Delhi","New Delhi","South Delhi","All India Institute of Medical Sciences (AIIMS)","AIIMS, Main Blood Bank, Ansari Nagar, Ring Road","110029","011 26594438, 011 26594400","011 40401010","011 26588641, 011 26588663","Public/Government","http://www.aiims.edu/","kabitachatterjee@gmail.com, poonamcoshic@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"409","Delhi","Delhi","South West Delhi","Armed Forces Transfusion Centre","Delhi Cantonment, Area Sadar Bazar, Army Public School","110010","011 23336685","NA","NA","Public/Government","http://delhi.gov.in/wps/wcm/connect/doit_drug/DoIT_Drug/Home/Blood+Bank","aftcdelhicant@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"410","Delhi","New Delhi","Central Delhi","Dr. Ram Manohar Lohia Hospital","Baba Kharak Singh Marg, near Gurudwara Bangla Sahib, Connaught Place","110001","011 23404292, 011 23404298","NA","011 23404292","Public/Government","http://rmlh.nic.in/","NA","YES","NO","24x7","[=28]28","[=77]77"
"411","Delhi","New Delhi","West Delhi","E.S.I. Hospital","ESI Hospital, Basai Darapur, Ring Road","110015","011 25970808, 011 25100664","NA","NA","Public/Government","http://www.esihospital.org/cont/index.php?jai=9","dr.ajay.sagar@esic.in","YES","NO","24x7","[=29]29","[=77]77"
"412","Delhi","New Delhi","South Delhi","Safdarjung Hospital","Safdarjung Hospital, Ansari Nagar, Ring Road","110029","011 26707254, 011 26707124","NA","011 26163072","Public/Government","http://www.vmmc-sjh.nic.in/","NA","YES","NO","24x7","[=29]29","[=77]77"
"413","Delhi","New Delhi","Central Delhi","Sucheta Kriplani Hospital","C-604, Shaheed Bhagat Singh Road, DIZ Area","110001","011 23408271","NA","011 23340566, 011 23408271","Public/Government","http://delhi.gov.in/wps/wcm/connect/doit_drug/DoIT_Drug/Home/Blood+Bank","bloodbanklhmc@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"414","Delhi","New Delhi","Central Delhi","Govind Ballabh Pant Hospital","G.B. Pant Hospital,Jawahar Lal Nehru Marg, Delhi Gate","110002","011 23234242","NA","NA","Public/Government","http://www.delhi.gov.in/wps/wcm/connect/doit_gbph/GBPH/Home/Departments/Blood+Bank","NA","YES","NO","24x7","[=29]29","[=77]77"
"415","Delhi","Delhi","Shahdara","Guru Tegh Bahadur Hospital","G T B Hospital, Shahadara","110095","011 22590148","NA","NA","Public/Government","http://delhi.gov.in/wps/wcm/connect/doit_gtbh/GTBH/Home","NA","NO","NO","24x7","[=29]29","[=77]77"
"416","Delhi","New Delhi","Central Delhi","Regional Blood tranfusion Center of Central zone","2 Jawarlal Nehru Marg, Delhi Gate","110002","011 23233809, 011 23231023","NA","NA","Public/Government","http://delhi.gov.in/wps/wcm/connect/doit_lnjp/LNJP/Home","btolnh@gmail.com","NO","NO","24x7","[=29]29","[=77]77"
"417","Delhi","Delhi","North West Delhi","Sushrut Trauma Centre","Civil Lines, 9, Metcalf Road","110054","011 23906014, 011 23906028","NA","NA","Public/Government","http://www.mamc.delhiGovernmentnic.in/stc-blood.htm","mfhtc9metcalfroad@gmail.com","NO","NO","24x7","[=29]29","[=77]77"
"418","Delhi","Delhi","North West Delhi","Sanjay Gandhi Memorial Hospital","S- Block, Mangolpuri","110083","011 27922843, 011 27916137","NA","NA","Public/Government","http://www.delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Sanjay+Gandhi+Memorial+Hospital/","NA","YES","NO","24x7","[=29]29","[=77]77"
"419","Delhi","New Delhi","North West Delhi","Dr. Baba Sahab Ambedkar Hospital","Sector-6, Rohini","110085","011 27049950, 011 27055585","NA","011 27058108","Public/Government","http://delhi.gov.in/wps/wcm/connect/DOIT_DBSAH/dbsah/our+services/blood+bank","msidhar67@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"420","Delhi","New Delhi","South West Delhi","Institute of Liver and Biliary Sciences","D-1, Vasant Kunj","110070","011 46300000","NA","NA","Public/Government","http://www.ilbs.in/","NA","NO","NO","24x7","[=29]29","[=77]77"
"421","Delhi","Delhi","East Delhi","Lal Bahadur Shastri Hospital","Near Kalyanvas Colony/Mayur Vihar Phase -II, GNCTD Kichdipur","110091","011 22786688, 011 22223167, 011 22774145, 011 22774146, 011 22786828, 011 22786818, 011 22778282","NA","011 22786808","Public/Government","http://www.delhi.gov.in/wps/wcm/connect/doit_health/health/home/hospitals/lal+bahadur+shastri+hospital/","mslbsh.delhi@gov.in","NO","NO","24x7","[=29]29","[=77]77"
"422","Delhi","Delhi","North Delhi","Hindu Rao Hospital","DR. J.S. Kkaranwal Memorial Road, Near Malka Ganj, Sabji Mandi, Malka Ganj","110007","011 23905713","NA","NA","Public/Government","http://mcdonline.gov.in/tri/ndmc_mcdportal/","NA","YES","NO","24x7","[=29]29","[=77]77"
"423","Delhi","Delhi","Central Delhi","Kasturba Gandhi Hospital","Near Jama Masjid, Daryaganj","110002","011 23275023, 011 23275024","NA","NA","Public/Government","NA","NA","YES","NO","24x7","[=29]29","[=77]77"
"424","Delhi","Delhi","North East Delhi","Swami Dayanand Hospital","Dilshad Garden","110095","011 22581031, 011 22583809","NA","011 22583809","Public/Government","NA","NA","YES","NO","24x7","[=29]29","[=77]77"
"425","Delhi","Delhi","South Delhi","Holy Family Hospital","Okhla Road","110025","011 26332800","NA","NA","Private","NA","NA","NO","NO","NA","[=29]29","[=77]77"
"426","Delhi","New Delhi","South West Delhi","Mata Chanan Devi Hospital","C-1 JANAKPURI NEW DELHI","110058","011 45582193, 011 45582194","NA","NA","Private","http://mcdh.in/index.aspx","NA","YES","NO","NA","[=29]29","[=77]77"
"427","Delhi","New Delhi","South Delhi","Shri Moolchand Khariti-ram Hospital and Ayurvedic Research Institute","Mool Chand Hospital, Lajpat Nagar-III","110024","011 42000476","NA","NA","Private","http://www.moolchandhealthcare.com","info@mcdh.in","YES","NO","24x7","[=29]29","[=77]77"
"428","Delhi","New Delhi","South Delhi","National Heart Institute","49, Community Center, East of Kailash","110065","011 26414156, 011 26414157","NA","NA","Private","http://www.nationalheartinstitute.com","info@nationalheartinstitute.com","YES","NO","24x7","[=29]29","[=77]77"
"429","Delhi","Delhi","North West Delhi","Sunder Lal Jain Charitable Hospital","Ashok Vihar, Phase-III","110052","011 47030900","NA","NA","Private","http://www.sljhospital.com/","sljhosp@ndf.vsnl.net.in","YES","NO","24x7","[=29]29","[=77]77"
"430","Delhi","Delhi","North Delhi","St. Stephens Hospital","St. Stephen Hospital, Tis Hazari","110054","011 23966021, 011 23966022, 011 23966023, 011 23966024","NA","NA","Private","http://bbssh6712@gmail.com","NA","YES","NO","24x7","[=29]29","[=77]77"
"431","Delhi","New Delhi","South Delhi","Pushpawati Singhania Research Institute (For Liver, Renal and Digestive Disease)","Press Enclave Marg, Sheikh Sarai, Phase II","110017","011 30611871","NA","NA","Private","http://www.psri.net","inchargebloodbank@psri.net","YES","NO","24x7","[=29]29","[=77]77"
"432","Delhi","New Delhi","West Delhi","Maharaja Agrasen Hospital","West Punjabi bagh","110026","40777777, Extension 6700","NA","NA","Private","http://www.mahdelhi.com","NA","YES","NO","24x7","[=29]29","[=77]77"
"433","Delhi","New Delhi","North West Delhi","Delhi Heart and Lung Institute","3 MM-11, Panchkuian Road","110055","011 42999999, 011 42988899, 011 23538351","NA","NA","Private","http://www.dhli.com","bloodbank@dhli.in","NO","NO","24x7","[=29]29","[=77]77"
"434","Delhi","New Delhi","West Delhi","Shree Balaji Action Medical Institute","FC-34, A-4, Paschim Vihar","110063","011 42888888, 011 45666666","NA","NA","Private","NA","NA","YES","NO","24x7","[=29]29","[=77]77"
"435","Delhi","New Delhi","South Delhi","Max Super Specialty Hospital, Heart and Vascular Institute( A Unit of Devki Devi Foundation Institute)","2, Press Enclave Road, Saket","110017","011 26515050, 011 26505252","NA","NA","Private","NA","NA","YES","NO","24x7","[=29]29","[=77]77"
"436","Delhi","New Delhi","West Delhi","Dr. BL Kapoor Memorial Hospital","B.L.K. Memorial Hospital, 5 Pusa Road","110005","011 30653095, 011 30653926","NA","NA","Private","http://www.blkhospital.com","NA","YES","NO","24x7","[=29]29","[=77]77"
"437","Delhi","New Delhi","West Delhi","Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC)","Kalra Hospital SRNCNC, A-4, Kirti Nagar","110015","011 45005700","NA","NA","Private","NA","NA","YES","NO","24x7","[=29]29","[=77]77"
"438","Delhi","New Delhi","North West Delhi","Park Hospital","Keshopur Sabzi Mandi, New Chaukhandi, Vishnu Garden","110018","011 45323232","NA","NA","Private","http://parkhospital.in/","info@parkhospital.org, drrekha29@gmail.com, hospital12@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"439","Delhi","New Delhi","North West Delhi","Fortis Hospital","A- Block, Shalimar Bagh","110088","011 45302222","NA","011 45302222","Private","http://www.fortishealthcare.com","NA","YES","NO","24x7","[=29]29","[=77]77"
"440","Delhi","New Delhi","South West Delhi","Bhagat Chandra Hospital","RZF-1/1, Mahavir Enclave, Palam","110045","011 45254525","NA","NA","Private","NA","NA","YES","NO","24x7","[=29]29","[=77]77"
"441","Delhi","New Delhi","South West Delhi","Indian Spinal Injuries Centre","C-8, Vasant Kunj","110070","011 42255387","NA","011 26898810, 011 26899147","Private","bloodbank@isiconline.org","NA","YES","NO","24x7","[=29]29","[=77]77"
"442","Delhi","New Delhi","South Delhi","Saket City Hospital","Mandir Marg, Press Enclave Road, Saket","110017","011 40699999, 011 71211062","NA","9171211010/2133","Private","http://www.saketcityhospital.com","bloodbank@saketcityhospital.com","YES","ALL","24x7","[=29]29","[=77]77"
"443","Delhi","New Delhi","South West Delhi","Bensups Hospital","Bansups Avenue, Sector ? 12, Dwarka","110075","011 45017615","NA","NA","Private","NA","NA","YES","NO","24x7","[=29]29","[=77]77"
"444","Delhi","New Delhi","Central Delhi","Indian Red Cross Society","1, Red Cross Road, Opposite Parliament House-New Delhi","110001","011 23716441, 011 23716442, 011 23716443,011 23716426, 011 23716916, 011 23711551, 011 23716441","NA","011 23717454","NA","http://www.indianredcross.org","directorbloodbank@indianredcross.org","YES","NOT APPLICABLE","24x7","[=29]29","[=77]77"
"445","Delhi","New Delhi","South Delhi","Rockland Hospital Qutab","B, 33-34, Qutab Institutional Area","110016","011 47667357","NA","NA","Private","http://www.rocklandhospitals.com/","labrh@yahoo.com","NO","NO","NA","[=29]29","[=77]77"
"446","Delhi","New Delhi","South Delhi","Primus Ortho and Spine Hospital","Primus Super Speciality Hospital,02, Chandragupta Marg, Lower Ground Floor, Chanakyapuri","110021","011 66206630, 011 66206640","NA","NA","Private","NA","mgarg1964@yahoo.co.in","NO","NO","24x7","[=29]29","[=77]77"
"447","Delhi","Delhi","North West Delhi","Max Super Specialty Hospital (A Unit of Max Health Care Institute Ltd)","FC-50, Block C and D, Shalimar Bagh","110088","011 66422222","NA","NA","Private","http://www.maxhealthcare.in/index.php/hospital-network/max-super-speciality-hospital-shalimar-bagh","NA","YES","NO","24x7","[=29]29","[=77]77"
"448","Delhi","New Delhi","South East Delhi","Hakeem Abdul Hameed Centenary Hospital","Jamia Hamdard, Hamdard Nagar","110062","011 26059668","NA","NA","Private","http://himsr.org/","bloodbankjamiahamdard@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"449","Delhi","New Delhi","South Delhi","White Cross Blood Bank","A-60, East Of Kailash","110065","011 26831063, 011 26844140","NA","NA","NA","NA","NA","NO","NO","24x7","[=29]29","[=77]77"
"450","Delhi","Delhi","North East Delhi","Mission Jan Jagriti","MGS Hospital, Rohtak road, 35/37 West Punjabi Bagh","110026","011 47053443","NA","NA","Private","http://www.missionjanjagriti.0rg","info@missionjanjagriti.org","YES","NO","NA","[=29]29","[=77]77"
"451","Delhi","New Delhi","North West Delhi","Pitampura Blood Bank","B-294, Saraswati Vihar, Outer Ring Road, Pitampura","110034","NA","NA","NA","Private","http://www.pitampurabloodbank.org","pitampurabloodbank@gmail.com","YES","NO","NA","[=29]29","[=77]77"
"452","Delhi","Delhi","North West Delhi","Lions Blood Bank","A.K.-100, Shalimar Bagh","110088","011 42258080,011 47122000","09717897520, 09717897500","NA","NGO, Private","http://delhi.gov.in/wps/wcm/connect/doit_drug/DoIT_Drug/Home/Blood+Bank","poonamshrivastava1@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"453","Delhi","Delhi","South Delhi","Batra Hospital and Medical Research Centre","1,Tuglakabad Institutional Area, Mehrauli Badarpur Road, Tughlakabad","110062","011 29958747 , 011 29957487","NA","011 29956255","Private","http://www.batrahospitaldelhi.org","NA","YES","YES","24x7","[=29]29","[=77]77"
"454","Delhi","Delhi","West Delhi","Blood Bank Organisation","11/6B Shanti Chamber, Opposite Telephone Exchange, Pusa Road","110005","011 25721870, 011 25721870","NA","NA","Private","http://www.bloodbank.org.com","bloodbankorg@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"455","Delhi","New Delhi","South Delhi","Rotary Blood Bank","56-57,Institutional Area, Tughlakabad , next to batra hospital","110062","011 29054068, 011 29054066,011 29962078","NA","011 26056333","Private","http://www.rotarybloodbank.org/","blood@rotarybloodbank.org","YES","NO","24x7","[=29]29","[=77]77"
"456","Delhi","Delhi","North West Delhi","Mission Jan Jagriti Blood Bank, Altius Sonia Hospital","1, Altius Sonia Hospital, Basement, 1, Gulshan Park, Rohtak Road, Nangloi metro station, Metro Piller Number 444","110041","011 30580345, 011 30777777","NA","NA","Private","http://www.missionjanjagriti.org/","drnkbhatia@yahoo.com","YES","NO","24x7","[=29]29","[=77]77"
"457","Delhi","New Delhi","East Delhi","Dharamshila Cancer Foundation and Research Centre","Vasundhara Enclave, Mayur Vihar.","110096","011 43066424 ,011 43066425, 011 43066432, 011 22617771, 011 22617772, 011 22617773, 011 22617774,011 22617775, 011 43066407","NA","NA","Private","http://www.dhrc.in/index.html","NA","YES","NO","24x7","[=29]29","[=77]77"
"458","Delhi","New Delhi","Central Delhi","Sir Ganga Ram Hospital","Sir Ganga Ram Road, Old Rajendra NagarNew Delhi- 110060","110060","011 42251800, 011 42251868,011 42251869,011 42251872, 011 25750000, 011 25751111, 011 25735205, 011 25861463","011-42251868","NA","Private","http://www.sgrh.com","yogesh.gaur1963@gmail.com, deepusinghrawat@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"459","Delhi","Delhi","North Delhi","Sant Parmanand Hospital","18, Shyamnath Marg, Civil Lines","110054","011 23994401, 011 23994402, 011 23994405, 011 23994410","NA","011 23974706","Private","NA","bloodbank@sphdelhi.org","YES","YES","24x7","[=29]29","[=77]77"
"460","Delhi","New Delhi","West Delhi","R. B. T. C (wz),Deen Dayal Upadhyay Hospital","Hari Nagar, Near clock tower","110064","011 25129345, 011 25494403, 011 25494405","09718990267","011 25494264, 011 25125393","Government","http://www.delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Deen+Dayal+Upadhyay+Hospital/","dduhbloodbank@gmail.com","YES","A, B, O, AB","24x7","[=29]29","[=77]77"
"461","Delhi","New Delhi","South Delhi","Jai Prakash Narayan Apex Trauma Centre","Jai Prakash Narayen Apex Trauma Centre, AIIMS, Raj Nagar,Ring Road","110029","011 26731166, 011 26731179, 011 26731169, 011 26108000, 011 26109000","","011 26106826","Private","http://www.jpnatc.com/","arulselvi.jpnatc@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"462","Delhi","New Delhi","North West Delhi","Brahm Shakti Hospital and Research Centre","Brahma Shakti Hospital, U-1/78, Budh Vihar","110084","011 27537894, 011 27532428, 011 27531683, 011 27537967","NA","NA","Private","http://www.brahmshaktihospital.com/index.php","info.brahmshaktibloodbank@gmail.com","YES","NO","24x7","[=29]29","[=77]77"
"463","Delhi","New Delhi","East Delhi","Max Super Specialty Hospital (Max Balaji Hospital)","A unit of Balaji Medical and Diagnostic Research Centre, 108-A, Indraprastha Extension, Opposite Sanchar Apartment, Patparganj","110092","011 66242515, 011 43033333","08860444888","011 22235563","Private","http://www.maxhealthcare.in/index.php/hospital-network/max-super-speciality-hospital-patparganj","reeta.rai@maxhealthcare.com","YES","NO","24x7","[=29]29","[=77]77"
"464","Delhi","Delhi","North West Delhi","Saroj Hospital and Heart Institute Run by Ganesh Das Chowla Charitable Trust (Regd.)","Saroj Hospital and Heart Institute, Sector-14, Rohini, Madhuban Chowk","110085","011 27903333, 011 27903276","NA","NA","Private","http://www.sarojhospital.com","rbansal1970@yahoo.com","YES","NO","24x7","[=29]29","[=77]77"
"465","Delhi","Delhi","South West Delhi","Fortis Flt. Lt. Rajan Dhall Hospital (A unit of Flt. Lt. Ranjan Dhall Charitable Trust Regd.)","Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj","110070","011 42776222","NA","01142776221","Private","http://www.fortishealthcare.com/","sljain49@yahoo.com","YES","NO","24x7","[=29]29","[=77]77"
"466","Delhi","Delhi","North West Delhi","Rajiv Gandhi Cancer Institute and Research Center","Rajiv Gandhi Cancer Institute, Sector-V Rohini","110085","011 47022222, 011 27051011","NA","NA","Private","http://www.rgcirc.org/","NA","YES","NO","24x7","[=29]29","[=77]77"
"467","Delhi","New Delhi","South East Delhi","Apollo Hospital","Indraprastha Medical Corporation, Sarita Vihar","110044","011 26925801, 011 26925858, 011 26825707","18605001066","NA","Private","http://www.apollohospdelhi.com/contact-us","NA","YES","NO","24x7","[=29]29","[=77]77"
"468","Delhi","New Delhi","South Delhi","Fortis Escort Heart Institute","Fortis Escort Heart Institute, Okhla Road","110025","011 26825053","011-47134916","NA","Private","http://www.fortisescorts.in/","NA","YES","YES","24x7","[=29]29","[=77]77"
